variant,scene_id,query_id,query_type,quality_eligible,hit_at_1,hit_at_3,reciprocal_rank,views_checked,semantic_entries_scanned,input_tokens,elapsed_ms
manual_reference,ConferenceHall-capture-pilot,qv2_001,simple_object,True,True,True,1.0,3,28,675,13.0574
manual_reference,ConferenceHall-capture-pilot,qv2_002,simple_object,True,True,True,1.0,3,34,665,7.6624
manual_reference,ConferenceHall-capture-pilot,qv2_003,simple_object,True,True,True,1.0,2,23,419,5.435
manual_reference,ConferenceHall-capture-pilot,qv2_004,simple_object,True,False,True,0.5,4,44,834,7.0883
manual_reference,ConferenceHall-capture-pilot,qv2_005,simple_object,True,True,True,1.0,3,29,590,4.602
manual_reference,ConferenceHall-capture-pilot,qv2_006,attribute,True,True,True,1.0,3,28,675,8.3365
manual_reference,ConferenceHall-capture-pilot,qv2_007,attribute,True,True,True,1.0,5,53,977,7.5278
manual_reference,ConferenceHall-capture-pilot,qv2_008,attribute,True,False,True,0.5,4,44,773,4.6331
manual_reference,ConferenceHall-capture-pilot,qv2_009,attribute,True,True,True,1.0,3,34,595,5.7276
manual_reference,ConferenceHall-capture-pilot,qv2_010,attribute,True,True,True,1.0,3,29,555,5.579
manual_reference,ConferenceHall-capture-pilot,qv2_011,relational,True,True,True,1.0,12,122,2561,31.9755
manual_reference,ConferenceHall-capture-pilot,qv2_012,relational,True,True,True,1.0,3,29,602,6.589
manual_reference,ConferenceHall-capture-pilot,qv2_013,relational,True,False,False,0.0,5,47,1018,10.2778
manual_reference,ConferenceHall-capture-pilot,qv2_014,relational,True,True,True,1.0,3,28,693,6.4032
manual_reference,ConferenceHall-capture-pilot,qv2_015,relational,True,True,True,1.0,3,34,691,6.4002
manual_reference,ConferenceHall-capture-pilot,qv2_016,multi_hop,True,False,True,0.5,3,34,665,6.0646
manual_reference,ConferenceHall-capture-pilot,qv2_017,multi_hop,True,False,True,0.5,4,39,785,6.5807
manual_reference,ConferenceHall-capture-pilot,qv2_018,multi_hop,True,True,True,1.0,8,79,1438,9.5644
manual_reference,ConferenceHall-capture-pilot,qv2_019,multi_hop,True,False,False,0.0,3,28,675,6.5322
manual_reference,ConferenceHall-capture-pilot,qv2_020,multi_hop,True,True,True,1.0,2,23,435,4.5241
manual_reference,ConferenceHall-capture-pilot,qv2_021,functional,True,False,False,0.0,5,51,995,9.7295
manual_reference,ConferenceHall-capture-pilot,qv2_022,functional,True,False,False,0.0,5,51,995,11.1585
manual_reference,ConferenceHall-capture-pilot,qv2_023,functional,True,True,True,1.0,2,22,444,4.9717
manual_reference,ConferenceHall-capture-pilot,qv2_024,functional,True,True,True,1.0,2,23,435,4.4921
manual_reference,ConferenceHall-capture-pilot,qv2_025,functional,True,False,True,0.5,4,44,834,8.0371
manual_reference,ConferenceHall-capture-pilot,qv2_026,negative,False,False,False,0.0,5,51,995,10.0439
manual_reference,ConferenceHall-capture-pilot,qv2_027,negative,False,False,False,0.0,5,51,995,8.7406
manual_reference,ConferenceHall-capture-pilot,qv2_028,negative,False,False,False,0.0,5,51,995,10.6052
manual_reference,ConferenceHall-capture-pilot,qv2_029,negative,False,False,False,0.0,5,51,995,6.6502
manual_reference,ConferenceHall-capture-pilot,qv2_030,negative,False,False,False,0.0,5,51,995,8.5739
pose_only,ConferenceHall-capture-pilot,qv2_001,simple_object,True,True,True,1.0,3,31,1253,5.7583
pose_only,ConferenceHall-capture-pilot,qv2_002,simple_object,True,True,True,1.0,3,34,1258,7.6111
pose_only,ConferenceHall-capture-pilot,qv2_003,simple_object,True,True,True,1.0,2,23,1024,7.0587
pose_only,ConferenceHall-capture-pilot,qv2_004,simple_object,True,True,True,1.0,5,56,1640,15.2224
pose_only,ConferenceHall-capture-pilot,qv2_005,simple_object,True,True,True,1.0,7,69,1927,15.4014
pose_only,ConferenceHall-capture-pilot,qv2_006,attribute,True,True,True,1.0,4,42,1447,10.8687
pose_only,ConferenceHall-capture-pilot,qv2_007,attribute,True,True,True,1.0,10,105,2384,13.7901
