query_id,scene_id,query,query_type,method,quality_eligible,hit_at_1,hit_at_3,reciprocal_rank,selected_view_id,views_checked,model_calls,input_tokens,output_tokens,total_tokens,latency_ms,response_valid,trace_path
qv2_001,ConferenceHall,Find the piano,simple_object,graph_instruction,True,True,True,1.0,v001,14,2,1908,19,1927,11327.777,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_001.json
qv2_002,ConferenceHall,Find the reception counter,simple_object,graph_instruction,True,False,True,0.3333333333333333,v013,6,2,1035,11,1046,5975.0016,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_002.json
qv2_003,ConferenceHall,Find the green exit sign,simple_object,graph_instruction,True,True,True,1.0,v019,8,2,1274,13,1287,9523.9741,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_003.json
qv2_004,ConferenceHall,Find the elevator doors,simple_object,graph_instruction,True,False,True,0.5,v019,8,2,1261,13,1274,9229.9908,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_004.json
qv2_005,ConferenceHall,Find the round tables,simple_object,graph_instruction,True,True,True,1.0,v005,7,2,1128,12,1140,7043.948,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_005.json
qv2_006,ConferenceHall,Find the black piano,attribute,graph_instruction,True,False,True,0.3333333333333333,v019,8,2,1261,13,1274,6633.0633,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_006.json
qv2_007,ConferenceHall,Find the cream sofas,attribute,graph_instruction,True,False,True,0.5,v019,8,2,1261,13,1274,4421.24,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_007.json
qv2_008,ConferenceHall,Find the golden elevator doors,attribute,graph_instruction,True,False,True,0.3333333333333333,v019,8,2,1274,13,1287,4216.0914,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_008.json
qv2_009,ConferenceHall,Find the dark reception counter,attribute,graph_instruction,True,False,True,0.3333333333333333,v019,6,2,1046,11,1057,3481.0304,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_009.json
qv2_010,ConferenceHall,Find the white covered chairs,attribute,graph_instruction,True,False,True,0.3333333333333333,v013,8,2,1274,13,1287,3981.1037,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_010.json
qv2_011,ConferenceHall,Find the piano near the wall,relational,graph_instruction,True,False,False,0.0,v019,14,2,1965,19,1984,5855.3252,True,outputs/instruction_agent/five_scene_qwen25_05b_graph_v1/traces/graph_instruction/ConferenceHall__qv2_011.json
