query_id,query,scene_id,source_dataset,query_type,relation,anchor,anchor_secondary,expected_object_ids,with_relation_top1,without_relation_top1,with_relation_hit_at_1,without_relation_hit_at_1,top1_changed,effect,relation_satisfied,relation_applied,validated_relation_change,relation_confidence,relation_source,relation_ranking_changed,relation_candidate_count
scannet_0011_00_nr3d_001,This is the large conference table with many chairs.,scannet_0011_00,Nr3D,relational,unparsed,,,2,17,17,False,False,False,neutral,,,False,,,False,0
scannet_0011_00_nr3d_002,The cabinets closest to the double doors.,scannet_0011_00,Nr3D,relational,closest,double doors,,28,1,1,False,False,False,neutral,False,False,False,0.0,unresolved,False,33
scannet_0011_00_sr3d_plus_001,select the table that is closer to the kitchen cabinets,scannet_0011_00,Sr3D+,relational,closest,kitchen cabinets,,2,2,17,True,False,True,beneficial,True,True,True,0.770557,relative_bbox_distance,True,3
scannet_0011_00_sr3d_plus_002,select the trash can that is far from the kitchen cabinets,scannet_0011_00,Sr3D+,relational,farthest,kitchen cabinets,,15,15,15,True,True,False,neutral,False,False,False,0.63078,relative_bbox_distance,False,33
scannet_0011_00_sr3d_plus_003,select the kitchen cabinets that are in the center of the kitchen counter and the doors,scannet_0011_00,Sr3D+,relational,between,kitchen counter,doors,1,1,1,True,True,False,neutral,False,False,False,0.621825,bbox_3d,False,33
scannet_0030_00_nr3d_001,"The tall bookshelf that is closest to the door,",scannet_0030_00,Nr3D,relational,closest,door,,17,17,17,True,True,False,neutral,False,False,False,0.546017,relative_bbox_distance,False,90
scannet_0030_00_nr3d_002,The books on the middle shelf of the bookshelf.,scannet_0030_00,Nr3D,relational,unparsed,,,24,17,17,False,False,False,neutral,,,False,,,False,0
scannet_0030_00_sr3d_plus_001,the office chair that is close to the bag,scannet_0030_00,Sr3D+,relational,closest,bag,,2,0,0,False,False,False,neutral,False,False,False,0.0,bbox_3d,False,90
scannet_0030_00_sr3d_plus_002,select the bookshelf that is far away from the door,scannet_0030_00,Sr3D+,relational,farthest,door,,19,19,17,True,False,True,beneficial,True,True,True,0.741263,relative_bbox_distance,True,5
scannet_0030_00_sr3d_plus_003,"looking at the front of the armchair, select the office chair that is on the right side of it",scannet_0030_00,Sr3D+,relational,front,armchair,,0,0,0,True,True,False,neutral,,,False,,,False,90
scannet_0046_00_nr3d_001,Find the backpack that is near the foot of the bed and in front of the tall cabinet.,scannet_0046_00,Nr3D,relational,front,tall cabinet,,52,18,18,False,False,False,neutral,False,False,False,0.0,unresolved,False,57
scannet_0046_00_nr3d_002,The shoes furthest from the door and closest to the window.,scannet_0046_00,Nr3D,relational,closest,window,,49,21,21,False,False,False,neutral,False,False,False,0.0,unresolved,False,57
scannet_0046_00_sr3d_plus_001,find the backpack that is closer to the desk,scannet_0046_00,Sr3D+,relational,closest,desk,,18,18,18,True,True,False,neutral,True,True,False,0.771438,relative_bbox_distance,False,3
scannet_0046_00_sr3d_plus_002,choose the door that is far from the picture,scannet_0046_00,Sr3D+,relational,farthest,picture,,21,21,21,True,True,False,neutral,True,True,False,0.717362,relative_bbox_distance,False,3
scannet_0046_00_sr3d_plus_003,choose the picture that is in the center of the toilet paper and the tv,scannet_0046_00,Sr3D+,relational,between,toilet paper,tv,0,0,0,True,True,False,neutral,False,False,False,0.497125,bbox_3d,False,57
